site_id,type,count
130,Yellow Chert,4
130,Petrified Wood,6
131,White Chert,10
131,Obsidian,8
132,White Chert,9
132,Obsidian,3
133,White Chert,10
133,Obsidian,8
134,White Chert,8
134,Dacite,3
134,Obsidian,6
135,White Chert,7
135,Red Chert,4
135,Gray Chert,8
135,Red/White Chert,5
135,Yellow Chert,6
135,Petrified Wood,4
136,White Chert,4
136,Red Chert,4
136,Gray Chert,8
136,Red/White Chert,3
136,Yellow Chert,5
136,Petrified Wood,3
137,White Chert,6
137,Red Chert,2
137,Red/White Chert,6
137,Petrified Wood,9
138,White Chert,4
138,Red Chert,3
138,Gray Chert,8
138,Red/White Chert,4
138,Yellow Chert,4
138,Petrified Wood,3
139,White Chert,5
139,Red Chert,7
139,Gray Chert,3
139,Yellow Chert,2
139,Petrified Wood,9
140,White Chert,9
140,Red Chert,3
140,Gray Chert,7
140,Red/White Chert,4
140,Yellow Chert,7
140,Petrified Wood,3
141,White Chert,4
141,Red Chert,11
141,Gray Chert,4
141,Red/White Chert,4
141,Yellow Chert,3
141,Petrified Wood,8
142,White Chert,8
142,Red Chert,2
142,Gray Chert,8
142,Red/White Chert,5
142,Yellow Chert,9
142,Petrified Wood,9
143,White Chert,3
143,Red Chert,5
143,Gray Chert,9
143,Red/White Chert,3
143,Yellow Chert,4
143,Petrified Wood,7
144,White Chert,5
144,Red Chert,8
144,Gray Chert,3
144,Red/White Chert,6
144,Yellow Chert,6
144,Petrified Wood,4
145,White Chert,17
145,Obsidian,11
146,White Chert,6
146,Red Chert,2
146,Gray Chert,9
146,Red/White Chert,4
146,Yellow Chert,3
146,Petrified Wood,8
147,White Chert,8
147,Red Chert,8
147,Gray Chert,2
147,Red/White Chert,5
147,Petrified Wood,6
148,White Chert,3
148,Red Chert,9
148,Gray Chert,5
148,Red/White Chert,5
148,Petrified Wood,8
149,White Chert,9
149,Red Chert,3
149,Gray Chert,3
149,Red/White Chert,3
149,Petrified Wood,3
150,White Chert,6
150,Red Chert,3
150,Gray Chert,5
150,Red/White Chert,9
150,Petrified Wood,2
151,White Chert,8
151,Red Chert,4
151,Gray Chert,5
151,Red/White Chert,3
151,Petrified Wood,9
152,White Chert,3
152,Red Chert,7
152,Gray Chert,5
152,Red/White Chert,6
152,Petrified Wood,6
153,White Chert,5
153,Red Chert,3
153,Gray Chert,2
153,Red/White Chert,3
153,Petrified Wood,8
154,White Chert,5
154,Red Chert,5
154,Gray Chert,3
154,Petrified Wood,4
155,White Chert,3
155,Red Chert,5
155,Gray Chert,3
155,Red/White Chert,6
155,Yellow Chert,3
155,Petrified Wood,2
156,White Chert,5
156,Red Chert,3
156,Gray Chert,8
156,Red/White Chert,9
156,Petrified Wood,3
157,Red Chert,6
157,Gray Chert,7
157,Red/White Chert,8
157,Yellow Chert,3
157,Petrified Wood,9
158,White Chert,4
158,Red Chert,8
158,Gray Chert,2
158,Red/White Chert,1
158,Yellow Chert,1
158,Petrified Wood,5
159,White Chert,9
159,Red Chert,3
159,Petrified Wood,12
160,White Chert,26
160,Red Chert,8
161,White Chert,11
161,Red Chert,6
161,Gray Chert,6
161,Red/White Chert,8
161,Yellow Chert,3
161,Dacite,2
161,Obsidian,9
162,White Chert,4
162,Red Chert,8
162,Gray Chert,9
162,Obsidian,3
163,White Chert,9
163,Red Chert,7
163,Gray Chert,5
163,Chinle Chert,2
163,Obsidian,4
163,Petrified Wood,2
164,White Chert,6
164,Gray Chert,4
164,Red/White Chert,2
164,Yellow Chert,4
164,Obsidian,3
165,White Chert,8
165,Red Chert,5
165,Red/White Chert,3
165,Yellow Chert,4
165,Chinle Chert,5
165,Rhyolite,2
166,White Chert,9
166,Gray Chert,6
166,Dacite,3
166,Obsidian,5
167,White Chert,12
167,Gray Chert,11
167,Obsidian,7
168,White Chert,19
168,Red Chert,7
168,Gray Chert,13
168,Red/White Chert,9
168,Dacite,11
168,Obsidian,9
169,White Chert,22
169,Red Chert,3
169,Gray Chert,5
169,Red/White Chert,7
169,Petrified Wood,6
170,White Chert,12
170,Dacite,7
170,Obsidian,5
170,Petrified Wood,3
171,White Chert,7
171,Gray Chert,5
171,Red/White Chert,4
171,Dacite,4
171,Obsidian,6
172,White Chert,13
172,Red Chert,5
172,Gray Chert,7
172,Red/White Chert,4
172,Obsidian,11
173,White Chert,16
173,Obsidian,6
173,Petrified Wood,11
174,White Chert,10
174,Red Chert,4
174,Red/White Chert,7
174,Chinle Chert,4
174,Obsidian,7
174,Petrified Wood,9
175,White Chert,7
175,Gray Chert,3
175,Yellow Chert,2
175,Dacite,3
175,Obsidian,6
175,Petrified Wood,3
176,White Chert,5
176,Red Chert,5
176,Gray Chert,3
176,Red/White Chert,4
176,Yellow Chert,5
176,Chinle Chert,5
176,Obsidian,4
177,White Chert,4
177,Red Chert,7
177,Gray Chert,3
177,Red/White Chert,5
177,Yellow Chert,8
177,Dacite,3
177,Chinle Chert,9
177,Rhyolite,2
177,Obsidian,6
177,Petrified Wood,3
178,White Chert,9
178,Red Chert,3
178,Gray Chert,4
178,Red/White Chert,4
178,Yellow Chert,2
178,Chinle Chert,7
178,Obsidian,7
179,White Chert,2
179,Red Chert,4
179,Red/White Chert,2
179,Yellow Chert,1
179,Dacite,2
179,Obsidian,6
179,Petrified Wood,2
180,White Chert,18
180,Red Chert,9
180,Gray Chert,4
180,Dacite,5
180,Obsidian,3
181,White Chert,2
181,Obsidian,3
182,White Chert,17
182,Dacite,4
182,Obsidian,5
183,White Chert,6
183,Gray Chert,9
184,White Chert,7
184,Dacite,5
184,Obsidian,7
185,White Chert,9
185,Red Chert,3
185,Red/White Chert,2
185,Dacite,4
185,Obsidian,8
186,White Chert,11
186,Red Chert,3
186,Red/White Chert,4
186,Obsidian,10
187,White Chert,16
187,Obsidian,5
188,White Chert,7
188,Red Chert,2
188,Dacite,2
188,Obsidian,11
188,Petrified Wood,6
189,White Chert,14
189,Obsidian,16
190,White Chert,12
190,Red/White Chert,5
190,Obsidian,10
191,Yellow Chert,4
191,Dacite,5
191,Chinle Chert,4
191,Obsidian,7
192,White Chert,9
192,Red Chert,6
192,Gray Chert,8
192,Red/White Chert,9
192,Yellow Chert,11
